1	35	20.04.2019 11:18:49 UTC-05:00	Ok.. somebody has cracked the first code.
2	36	20.04.2019 11:19:00 UTC-05:00	that was way faster than expected.
4	40	20.04.2019 11:22:36 UTC-05:00	It is.
6	144	22.04.2019 09:28:08 UTC-05:00	wrong chat RKT [] 😊
7	148	22.04.2019 09:39:49 UTC-05:00	😂
8	155	22.04.2019 14:48:52 UTC-05:00	5ac407837447fba24ba2802e4d1e9aecb4580aa29fef1088cc387c180b746f75
12	164	22.04.2019 16:26:51 UTC-05:00	or just get yourself a python script
13	167	22.04.2019 16:28:13 UTC-05:00	a sticker
15	231	23.04.2019 13:57:51 UTC-05:00	Ewout managed to crack the april 1st puzzle. He was the first to solve it.
16	386	27.04.2019 10:46:58 UTC-05:00	hahahaha :D
17	387	27.04.2019 10:47:07 UTC-05:00	back to the pile!
18	405	29.04.2019 17:35:29 UTC-05:00	I personally don't mind you talkinig in another language in  this chat tbh although I do prefer english to be the standard language as I assume most of us will be able to follow the conversations. The main chat of GSMG is english only.
20	505	08.05.2019 08:34:39 UTC-05:00	Nobody knows
21	661	14.05.2019 09:49:49 UTC-05:00	👌
22	662	14.05.2019 09:51:40 UTC-05:00	Quests might* be scams. We didn't promote this puzzle nor is it unsolvalble. Please enjoy the puzzle or continue your journey.
30	682	17.05.2019 21:30:34 UTC-05:00	Once you have to work with give(t)it you'll know.
33	689	18.05.2019 11:49:27 UTC-05:00	Nope
37	733	26.05.2019 19:25:10 UTC-05:00	Not completely, voice recognition might even work to pass although I'd copy past the answer as it's faster ;-).
38	735	26.05.2019 22:20:49 UTC-05:00	Ok you found a song. Do have a clue on how to proceed on the webpage?
39	741	28.05.2019 11:45:40 UTC-05:00	Nobody knows.
40	755	31.05.2019 10:02:28 UTC-05:00	Now we need a bot here too
41	762	31.05.2019 10:27:49 UTC-05:00	shitcoin
42	763	31.05.2019 10:27:53 UTC-05:00	😉
43	764	31.05.2019 10:28:01 UTC-05:00	Well.... yes
44	765	31.05.2019 10:28:28 UTC-05:00	Apparently folks found a new piece.
45	768	31.05.2019 10:29:13 UTC-05:00	Almost banned for spam 😋
46	771	31.05.2019 10:32:29 UTC-05:00	/daysandbox_set [] safe_hours=720
47	937	27.06.2019 16:38:51 UTC-05:00	🌱
48	938	27.06.2019 16:39:32 UTC-05:00	🛣
51	1106	22.09.2019 17:55:01 UTC-05:00	Found it by now?
52	1110	22.09.2019 18:00:48 UTC-05:00	7 parts right?
53	1126	26.09.2019 10:35:24 UTC-05:00	There may indeed a piece be found outside the main puzzle.
54	1160	13.10.2019 13:38:53 UTC-05:00	Gsmg.io/puzzle
56	1205	03.12.2019 12:55:55 UTC-05:00	giveit = givetit
58	1229	31.12.2019 05:33:29 UTC-05:00	To all you peepz in advance: have a blast in the last part of 2019 and have an even better 2020. Best wishes to you all and good luck with the next puzzle piece(s) in case you manage to find them 😉!
59	1232	04.01.2020 20:01:19 UTC-05:00	Anybody hungry?
60	1235	04.01.2020 20:01:54 UTC-05:00	No, it's a dessert
61	1242	04.01.2020 20:06:01 UTC-05:00	Note: I might be in a trolling mood.
62	1255	12.01.2020 15:52:32 UTC-05:00	👆
65	1283	14.01.2020 05:38:49 UTC-05:00	Good luck 👍
66	1288	27.01.2020 10:21:35 UTC-05:00	Might have been fixed fyi 👆
68	1298	20.02.2020 10:31:58 UTC-05:00	😎
69	1307	21.02.2020 08:03:21 UTC-05:00	I'm not the esthetician when it comes to coding 😉
70	1310	22.02.2020 10:19:41 UTC-05:00	👋
73	1326	22.02.2020 10:34:10 UTC-05:00	Don't know
75	1375	22.02.2020 15:30:18 UTC-05:00	Only -41,-17 matters
77	1518	25.02.2020 13:04:46 UTC-05:00	You are right
79	1528	25.02.2020 13:07:19 UTC-05:00	3.2 is a thing btw
80	1532	25.02.2020 13:09:10 UTC-05:00	Or nobody found the direction
81	1535	25.02.2020 13:09:39 UTC-05:00	But I should shut up ofcourse 😁
82	1538	25.02.2020 13:10:30 UTC-05:00	I'd dive in the puzzle from the beginning before making assumptions
84	1541	25.02.2020 13:15:01 UTC-05:00	Don't know but most see 3.2 as the last part.
85	1581	25.02.2020 13:38:52 UTC-05:00	😂😂😂
86	1584	25.02.2020 13:40:01 UTC-05:00	Just spend less time here fishing for clues and solve 🧐
87	1675	27.02.2020 11:06:27 UTC-05:00	Nice and silent
89	1678	27.02.2020 11:07:09 UTC-05:00	He'll be back
90	1692	16.03.2020 08:13:31 UTC-05:00	Yeah we might want to push the English only rule here too ;-)
91	2223	24.03.2020 19:19:39 UTC-05:00	Interesting 😜
93	2236	24.03.2020 20:22:40 UTC-05:00	There must at least be something hidden in there.
