1	35	20.04.2019 11:18:49 UTC-05:00	Ok.. somebody has cracked the first code.
2	36	20.04.2019 11:19:00 UTC-05:00	that was way faster than expected.
3	38	20.04.2019 11:21:57 UTC-05:00	The first part. Maybe the puzzle has multiple stages 😉.
4	40	20.04.2019 11:22:36 UTC-05:00	It is.
6	144	22.04.2019 09:28:08 UTC-05:00	wrong chat RKT [] 😊
7	148	22.04.2019 09:39:49 UTC-05:00	😂
8	155	22.04.2019 14:48:52 UTC-05:00	5ac407837447fba24ba2802e4d1e9aecb4580aa29fef1088cc387c180b746f75
9	156	22.04.2019 14:49:09 UTC-05:00	just try hit your options against that hash.
10	159	22.04.2019 16:24:17 UTC-05:00	Puzzle token issue for stage 1 seems to be resolved.
11	162	22.04.2019 16:26:42 UTC-05:00	https://passwordsgenerator.net/sha256-hash-generator/
12	164	22.04.2019 16:26:51 UTC-05:00	or just get yourself a python script
13	167	22.04.2019 16:28:13 UTC-05:00	a sticker
15	231	23.04.2019 13:57:51 UTC-05:00	Ewout managed to crack the april 1st puzzle. He was the first to solve it.
16	386	27.04.2019 10:46:58 UTC-05:00	hahahaha :D
17	387	27.04.2019 10:47:07 UTC-05:00	back to the pile!
19	502	08.05.2019 08:20:21 UTC-05:00	Apparently somebody managed to get into Phase 3 🧐
20	505	08.05.2019 08:34:39 UTC-05:00	Nobody knows
21	661	14.05.2019 09:49:49 UTC-05:00	👌
23	666	14.05.2019 09:53:59 UTC-05:00	Sure, once it's solved.
24	669	14.05.2019 10:01:11 UTC-05:00	I suppose the btc price will be above 10k at the next halving.
26	675	17.05.2019 17:43:46 UTC-05:00	Here's the hint in order to bypass the mistake: /  / giveit = givetit
27	677	17.05.2019 19:04:04 UTC-05:00	Correct.
29	681	17.05.2019 21:30:08 UTC-05:00	The issue is within the 3th phase. Not in going from 2 to 3.
30	682	17.05.2019 21:30:34 UTC-05:00	Once you have to work with give(t)it you'll know.
33	689	18.05.2019 11:49:27 UTC-05:00	Nope
35	699	18.05.2019 12:10:46 UTC-05:00	No, they reaced out to me on tg and send me proof of them passing the stages.
36	701	18.05.2019 12:13:29 UTC-05:00	No hints after stage 2 (except the 't' to fix my stupid mistake)
38	735	26.05.2019 22:20:49 UTC-05:00	Ok you found a song. Do have a clue on how to proceed on the webpage?
39	741	28.05.2019 11:45:40 UTC-05:00	Nobody knows.
40	755	31.05.2019 10:02:28 UTC-05:00	Now we need a bot here too
41	762	31.05.2019 10:27:49 UTC-05:00	shitcoin
42	763	31.05.2019 10:27:53 UTC-05:00	😉
43	764	31.05.2019 10:28:01 UTC-05:00	Well.... yes
44	765	31.05.2019 10:28:28 UTC-05:00	Apparently folks found a new piece.
45	768	31.05.2019 10:29:13 UTC-05:00	Almost banned for spam 😋
46	771	31.05.2019 10:32:29 UTC-05:00	/daysandbox_set [] safe_hours=720
47	937	27.06.2019 16:38:51 UTC-05:00	🌱
48	938	27.06.2019 16:39:32 UTC-05:00	🛣
49	1079	10.08.2019 11:50:10 UTC-05:00	You'll only know when you've solved that part.
50	1098	04.09.2019 02:58:16 UTC-05:00	Still no hints ;-)
51	1106	22.09.2019 17:55:01 UTC-05:00	Found it by now?
52	1110	22.09.2019 18:00:48 UTC-05:00	7 parts right?
53	1126	26.09.2019 10:35:24 UTC-05:00	There may indeed a piece be found outside the main puzzle.
54	1160	13.10.2019 13:38:53 UTC-05:00	Gsmg.io/puzzle
55	1197	31.10.2019 20:53:04 UTC-05:00	Sure, what's the hint?
56	1205	03.12.2019 12:55:55 UTC-05:00	giveit = givetit
59	1232	04.01.2020 20:01:19 UTC-05:00	Anybody hungry?
60	1235	04.01.2020 20:01:54 UTC-05:00	No, it's a dessert
61	1242	04.01.2020 20:06:01 UTC-05:00	Note: I might be in a trolling mood.
62	1255	12.01.2020 15:52:32 UTC-05:00	👆
63	1275	13.01.2020 11:40:54 UTC-05:00	Hint to be expected within a few days. Note: not trolling with scripted cake this time.
65	1283	14.01.2020 05:38:49 UTC-05:00	Good luck 👍
66	1288	27.01.2020 10:21:35 UTC-05:00	Might have been fixed fyi 👆
67	1290	27.01.2020 11:00:04 UTC-05:00	Would be nice, not required
68	1298	20.02.2020 10:31:58 UTC-05:00	😎
69	1307	21.02.2020 08:03:21 UTC-05:00	I'm not the esthetician when it comes to coding 😉
70	1310	22.02.2020 10:19:41 UTC-05:00	👋
71	1322	22.02.2020 10:32:30 UTC-05:00	Solutions for the first stages can be found online.
72	1324	22.02.2020 10:32:52 UTC-05:00	The quickest brain did it within 2 hours if I remember correctly.
73	1326	22.02.2020 10:34:10 UTC-05:00	Don't know
75	1375	22.02.2020 15:30:18 UTC-05:00	Only -41,-17 matters
